"No.","Time","Source","Destination","Protocol","Length","Info"
"224","58.745288","192.168.0.21","192.168.3.255","UDP","282","56059  >  5805 Len=240"
"225","60.250365","192.168.0.21","192.168.3.255","UDP","130","56059  >  5805 Len=88"
"226","60.251261","192.168.0.21","192.168.3.255","UDP","253","56059  >  5805 Len=211"
"227","60.252362","192.168.0.21","192.168.3.255","UDP","175","56059  >  5805 Len=133"
"228","60.253428","192.168.0.21","192.168.3.255","UDP","130","56059  >  5805 Len=88"
"229","60.254399","192.168.0.21","192.168.3.255","UDP","44","56059  >  5805 Len=2"
"230","60.255131","192.168.0.21","192.168.3.255","UDP","122","56059  >  5805 Len=80"
"231","60.255820","192.168.0.21","192.168.3.255","UDP","163","56059  >  5805 Len=121"
"232","60.256376","192.168.0.21","192.168.3.255","UDP","190","56059  >  5805 Len=148"
"233","60.257649","192.168.0.21","192.168.3.255","UDP","145","56059  >  5805 Len=103"
"236","61.758742","192.168.0.21","192.168.3.255","UDP","162","56059  >  5805 Len=120"
"237","61.759825","192.168.0.21","192.168.3.255","UDP","125","56059  >  5805 Len=83"
"238","61.760886","192.168.0.21","192.168.3.255","UDP","182","56059  >  5805 Len=140"
"239","61.762273","192.168.0.21","192.168.3.255","UDP","89","56059  >  5805 Len=47"
"240","61.762871","192.168.0.21","192.168.3.255","UDP","156","56059  >  5805 Len=114"
"241","61.763524","192.168.0.21","192.168.3.255","UDP","251","56059  >  5805 Len=209"
"242","61.764059","192.168.0.21","192.168.3.255","UDP","127","56059  >  5805 Len=85"
"243","61.764900","192.168.0.21","192.168.3.255","UDP","290","56059  >  5805 Len=248"
"244","61.765298","192.168.0.21","192.168.3.255","UDP","273","56059  >  5805 Len=231"
"248","66.266582","192.168.0.21","192.168.3.255","UDP","132","56059  >  5805 Len=90"
"249","66.267569","192.168.0.21","192.168.3.255","UDP","190","56059  >  5805 Len=148"
"250","66.269127","192.168.0.21","192.168.3.255","UDP","114","56059  >  5805 Len=72"
"253","67.769991","192.168.0.21","192.168.3.255","UDP","171","56059  >  5805 Len=129"
"254","67.771139","192.168.0.21","192.168.3.255","UDP","122","56059  >  5805 Len=80"
"255","67.772358","192.168.0.21","192.168.3.255","UDP","129","56059  >  5805 Len=87"
"257","69.274275","192.168.0.21","192.168.3.255","UDP","164","56059  >  5805 Len=122"
"258","69.275300","192.168.0.21","192.168.3.255","UDP","207","56059  >  5805 Len=165"
"259","69.278128","192.168.0.21","192.168.3.255","UDP","210","56059  >  5805 Len=168"
"261","70.779394","192.168.0.21","192.168.3.255","UDP","232","56059  >  5805 Len=190"
"262","70.780322","192.168.0.21","192.168.3.255","UDP","78","56059  >  5805 Len=36"
"263","70.781365","192.168.0.21","192.168.3.255","UDP","44","56059  >  5805 Len=2"
"264","70.782724","192.168.0.21","192.168.3.255","UDP","112","56059  >  5805 Len=70"
"265","70.784064","192.168.0.21","192.168.3.255","UDP","130","56059  >  5805 Len=88"
"266","70.784734","192.168.0.21","192.168.3.255","UDP","171","56059  >  5805 Len=129"
"267","70.785153","192.168.0.21","192.168.3.255","UDP","157","56059  >  5805 Len=115"
"268","70.785619","192.168.0.21","192.168.3.255","UDP","160","56059  >  5805 Len=118"
"269","70.786038","192.168.0.21","192.168.3.255","UDP","155","56059  >  5805 Len=113"
"270","72.288004","192.168.0.21","192.168.3.255","UDP","203","56059  >  5805 Len=161"
"271","72.289154","192.168.0.21","192.168.3.255","UDP","158","56059  >  5805 Len=116"
"272","72.290357","192.168.0.21","192.168.3.255","UDP","207","56059  >  5805 Len=165"
"273","72.291595","192.168.0.21","192.168.3.255","UDP","153","56059  >  5805 Len=111"
"274","72.292494","192.168.0.21","192.168.3.255","UDP","188","56059  >  5805 Len=146"
"275","72.293926","192.168.0.21","192.168.3.255","UDP","145","56059  >  5805 Len=103"
"276","72.294529","192.168.0.21","192.168.3.255","UDP","130","56059  >  5805 Len=88"
"277","72.295445","192.168.0.21","192.168.3.255","UDP","151","56059  >  5805 Len=109"
"278","72.295961","192.168.0.21","192.168.3.255","UDP","168","56059  >  5805 Len=126"
"281","76.796888","192.168.0.21","192.168.3.255","UDP","81","56059  >  5805 Len=39"
"282","76.797577","192.168.0.21","192.168.3.255","UDP","121","56059  >  5805 Len=79"
"283","76.798121","192.168.0.21","192.168.3.255","UDP","44","56059  >  5805 Len=2"
"284","78.298455","192.168.0.21","192.168.3.255","UDP","118","56059  >  5805 Len=76"
"285","78.299480","192.168.0.21","192.168.3.255","UDP","43","56059  >  5805 Len=1"
"286","78.300668","192.168.0.21","192.168.3.255","UDP","272","56059  >  5805 Len=230"
"287","78.301590","192.168.0.21","192.168.3.255","UDP","200","56059  >  5805 Len=158"
"288","78.302193","192.168.0.21","192.168.3.255","UDP","132","56059  >  5805 Len=90"
"289","78.302709","192.168.0.21","192.168.3.255","UDP","711","56059  >  5805 Len=669"
"290","78.303089","192.168.0.21","192.168.3.255","UDP","44","56059  >  5805 Len=2"
"291","78.304295","192.168.0.21","192.168.3.255","UDP","151","56059  >  5805 Len=109"
"292","78.304725","192.168.0.21","192.168.3.255","UDP","141","56059  >  5805 Len=99"
"293","79.805831","192.168.0.21","192.168.3.255","UDP","104","56059  >  5805 Len=62"
"294","79.806707","192.168.0.21","192.168.3.255","UDP","92","56059  >  5805 Len=50"
"295","79.808005","192.168.0.21","192.168.3.255","UDP","158","56059  >  5805 Len=116"
"296","79.809194","192.168.0.21","192.168.3.255","UDP","579","56059  >  5805 Len=537"
"297","79.810359","192.168.0.21","192.168.3.255","UDP","279","56059  >  5805 Len=237"
"298","79.811205","192.168.0.21","192.168.3.255","UDP","195","56059  >  5805 Len=153"
"299","79.812000","192.168.0.21","192.168.3.255","UDP","145","56059  >  5805 Len=103"
"300","79.812631","192.168.0.21","192.168.3.255","UDP","127","56059  >  5805 Len=85"
"301","79.813066","192.168.0.21","192.168.3.255","UDP","114","56059  >  5805 Len=72"
"302","81.312850","192.168.0.21","192.168.3.255","UDP","200","56059  >  5805 Len=158"
"303","81.314010","192.168.0.21","192.168.3.255","UDP","208","56059  >  5805 Len=166"
"304","81.315382","192.168.0.21","192.168.3.255","UDP","105","56059  >  5805 Len=63"
"314","85.818364","192.168.0.21","192.168.3.255","UDP","365","56059  >  5805 Len=323"
"315","85.819358","192.168.0.21","192.168.3.255","UDP","334","56059  >  5805 Len=292"
"316","85.822719","192.168.0.21","192.168.3.255","UDP","276","56059  >  5805 Len=234"
"317","85.826739","192.168.0.21","192.168.3.255","UDP","213","56059  >  5805 Len=171"
"318","85.833114","192.168.0.21","192.168.3.255","UDP","126","56059  >  5805 Len=84"
"319","85.834473","192.168.0.21","192.168.3.255","UDP","127","56059  >  5805 Len=85"
"320","85.836484","192.168.0.21","192.168.3.255","UDP","166","56059  >  5805 Len=124"
"321","85.837141","192.168.0.21","192.168.3.255","UDP","108","56059  >  5805 Len=66"
"322","85.837812","192.168.0.21","192.168.3.255","UDP","90","56059  >  5805 Len=48"
"324","87.339628","192.168.0.21","192.168.3.255","UDP","163","56059  >  5805 Len=121"
"325","87.341003","192.168.0.21","192.168.3.255","UDP","140","56059  >  5805 Len=98"
"326","87.343275","192.168.0.21","192.168.3.255","UDP","132","56059  >  5805 Len=90"
"328","88.844400","192.168.0.21","192.168.3.255","UDP","168","56059  >  5805 Len=126"
"329","88.845623","192.168.0.21","192.168.3.255","UDP","223","56059  >  5805 Len=181"
"330","88.846778","192.168.0.21","192.168.3.255","UDP","91","56059  >  5805 Len=49"
"331","90.348742","192.168.0.21","192.168.3.255","UDP","99","56059  >  5805 Len=57"
"332","90.349673","192.168.0.21","192.168.3.255","UDP","99","56059  >  5805 Len=57"
"333","90.350527","192.168.0.21","192.168.3.255","UDP","217","56059  >  5805 Len=175"
"338","91.851756","192.168.0.21","192.168.3.255","ADwin Config","138",""
"339","91.852616","192.168.0.21","192.168.3.255","UDP","202","56059  >  5805 Len=160"
"340","91.853518","192.168.0.21","192.168.3.255","UDP","140","56059  >  5805 Len=98"
"345","93.354083","192.168.0.21","192.168.3.255","UDP","261","56059  >  5805 Len=219"
"346","93.355039","192.168.0.21","192.168.3.255","UDP","235","56059  >  5805 Len=193"
"347","93.359016","192.168.0.21","192.168.3.255","UDP","101","56059  >  5805 Len=59"
"348","93.359480","192.168.0.21","192.168.3.255","UDP","195","56059  >  5805 Len=153"
"349","93.359977","192.168.0.21","192.168.3.255","UDP","174","56059  >  5805 Len=132"
"350","93.360504","192.168.0.21","192.168.3.255","UDP","238","56059  >  5805 Len=196"
"351","93.361037","192.168.0.21","192.168.3.255","UDP","243","56059  >  5805 Len=201"
"352","93.361622","192.168.0.21","192.168.3.255","UDP","154","56059  >  5805 Len=112"
"353","93.362135","192.168.0.21","192.168.3.255","UDP","198","56059  >  5805 Len=156"
"361","97.864662","192.168.0.21","192.168.3.255","UDP","274","56059  >  5805 Len=232"
"362","97.865750","192.168.0.21","192.168.3.255","UDP","342","56059  >  5805 Len=300"
"363","97.866694","192.168.0.21","192.168.3.255","UDP","221","56059  >  5805 Len=179"
"364","97.867705","192.168.0.21","192.168.3.255","UDP","106","56059  >  5805 Len=64"
"365","97.868921","192.168.0.21","192.168.3.255","UDP","97","56059  >  5805 Len=55"
"366","97.870689","192.168.0.21","192.168.3.255","UDP","225","56059  >  5805 Len=183"
"367","97.871055","192.168.0.21","192.168.3.255","UDP","177","56059  >  5805 Len=135"
"368","97.871535","192.168.0.21","192.168.3.255","UDP","186","56059  >  5805 Len=144"
"369","97.871926","192.168.0.21","192.168.3.255","UDP","325","56059  >  5805 Len=283"
"371","99.373902","192.168.0.21","192.168.3.255","UDP","223","56059  >  5805 Len=181"
"372","99.374695","192.168.0.21","192.168.3.255","UDP","221","56059  >  5805 Len=179"
"373","99.375456","192.168.0.21","192.168.3.255","UDP","201","56059  >  5805 Len=159"
"378","100.876554","192.168.0.21","192.168.3.255","UDP","233","56059  >  5805 Len=191"
"379","100.877768","192.168.0.21","192.168.3.255","UDP","297","56059  >  5805 Len=255"
"380","100.878962","192.168.0.21","192.168.3.255","UDP","196","56059  >  5805 Len=154"
"382","102.380560","192.168.0.21","192.168.3.255","UDP","115","56059  >  5805 Len=73"
"383","102.381698","192.168.0.21","192.168.3.255","UDP","187","56059  >  5805 Len=145"
"384","102.382748","192.168.0.21","192.168.3.255","UDP","227","56059  >  5805 Len=185"
"392","106.884317","192.168.0.21","192.168.3.255","UDP","207","56059  >  5805 Len=165"
"393","106.885548","192.168.0.21","192.168.3.255","UDP","101","56059  >  5805 Len=59"
"394","106.886492","192.168.0.21","192.168.3.255","UDP","308","56059  >  5805 Len=266"
"395","108.387793","192.168.0.21","192.168.3.255","UDP","87","56059  >  5805 Len=45"
"396","108.388914","192.168.0.21","192.168.3.255","UDP","97","56059  >  5805 Len=55"
"397","108.390307","192.168.0.21","192.168.3.255","UDP","210","56059  >  5805 Len=168"
"398","108.392402","192.168.0.21","192.168.3.255","UDP","105","56059  >  5805 Len=63"
"399","108.393076","192.168.0.21","192.168.3.255","UDP","225","56059  >  5805 Len=183"
"400","108.393674","192.168.0.21","192.168.3.255","UDP","206","56059  >  5805 Len=164"
"401","108.394428","192.168.0.21","192.168.3.255","UDP","324","56059  >  5805 Len=282"
"402","108.394946","192.168.0.21","192.168.3.255","UDP","116","56059  >  5805 Len=74"
"403","108.395286","192.168.0.21","192.168.3.255","UDP","105","56059  >  5805 Len=63"
"407","109.895851","192.168.0.21","192.168.3.255","UDP","189","56059  >  5805 Len=147"
"408","109.897169","192.168.0.21","192.168.3.255","UDP","231","56059  >  5805 Len=189"
"409","109.900947","192.168.0.21","192.168.3.255","UDP","233","56059  >  5805 Len=191"
"411","111.402199","192.168.0.21","192.168.3.255","UDP","195","56059  >  5805 Len=153"
"412","111.404021","192.168.0.21","192.168.3.255","UDP","339","56059  >  5805 Len=297"
"413","111.405832","192.168.0.21","192.168.3.255","UDP","189","56059  >  5805 Len=147"
"426","115.907545","192.168.0.21","192.168.3.255","UDP","83","56059  >  5805 Len=41"
"427","115.908563","192.168.0.21","192.168.3.255","UDP","259","56059  >  5805 Len=217"
"428","115.909768","192.168.0.21","192.168.3.255","UDP","305","56059  >  5805 Len=263"
"429","115.911137","192.168.0.21","192.168.3.255","UDP","198","56059  >  5805 Len=156"
"430","115.911809","192.168.0.21","192.168.3.255","UDP","168","56059  >  5805 Len=126"
"431","115.912536","192.168.0.21","192.168.3.255","UDP","153","56059  >  5805 Len=111"
"432","115.912998","192.168.0.21","192.168.3.255","UDP","251","56059  >  5805 Len=209"
"433","115.913646","192.168.0.21","192.168.3.255","UDP","381","56059  >  5805 Len=339"
"434","115.914321","192.168.0.21","192.168.3.255","UDP","164","56059  >  5805 Len=122"
"437","117.414254","192.168.0.21","192.168.3.255","UDP","215","56059  >  5805 Len=173"
"438","117.415209","192.168.0.21","192.168.3.255","UDP","214","56059  >  5805 Len=172"
"439","117.416413","192.168.0.21","192.168.3.255","UDP","157","56059  >  5805 Len=115"
"440","117.417665","192.168.0.21","192.168.3.255","UDP","164","56059  >  5805 Len=122"
"441","117.422373","192.168.0.21","192.168.3.255","UDP","150","56059  >  5805 Len=108"
"442","117.424259","192.168.0.21","192.168.3.255","UDP","123","56059  >  5805 Len=81"
"443","117.424688","192.168.0.21","192.168.3.255","UDP","44","56059  >  5805 Len=2"
"444","117.426148","192.168.0.21","192.168.3.255","UDP","166","56059  >  5805 Len=124"
"445","117.426536","192.168.0.21","192.168.3.255","UDP","117","56059  >  5805 Len=75"
"448","118.928494","192.168.0.21","192.168.3.255","UDP","235","56059  >  5805 Len=193"
"449","118.930169","192.168.0.21","192.168.3.255","UDP","136","56059  >  5805 Len=94"
"450","118.931394","192.168.0.21","192.168.3.255","UDP","185","56059  >  5805 Len=143"
"451","118.932482","192.168.0.21","192.168.3.255","UDP","238","56059  >  5805 Len=196"
"452","118.933593","192.168.0.21","192.168.3.255","UDP","127","56059  >  5805 Len=85"
"453","118.934204","192.168.0.21","192.168.3.255","UDP","114","56059  >  5805 Len=72"
"454","118.935189","192.168.0.21","192.168.3.255","UDP","281","56059  >  5805 Len=239"
"455","118.935651","192.168.0.21","192.168.3.255","UDP","312","56059  >  5805 Len=270"
"456","118.936347","192.168.0.21","192.168.3.255","UDP","45","56059  >  5805 Len=3"
"457","120.436854","192.168.0.21","192.168.3.255","UDP","235","56059  >  5805 Len=193"
"458","120.437836","192.168.0.21","192.168.3.255","UDP","53","56059  >  5805 Len=11"
"459","120.439072","192.168.0.21","192.168.3.255","UDP","44","56059  >  5805 Len=2"
"460","120.440400","192.168.0.21","192.168.3.255","UDP","155","56059  >  5805 Len=113"
"461","120.440841","192.168.0.21","192.168.3.255","ADwin Config","94",""
"462","120.441311","192.168.0.21","192.168.3.255","UDP","120","56059  >  5805 Len=78"
"463","120.441776","192.168.0.21","192.168.3.255","UDP","110","56059  >  5805 Len=68"
"464","120.442230","192.168.0.21","192.168.3.255","UDP","119","56059  >  5805 Len=77"
"465","120.442669","192.168.0.21","192.168.3.255","UDP","62","56059  >  5805 Len=20"
"466","121.943343","192.168.0.21","192.168.3.255","UDP","237","56059  >  5805 Len=195"
"467","121.944296","192.168.0.21","192.168.3.255","UDP","68","56059  >  5805 Len=26"
"468","121.945760","192.168.0.21","192.168.3.255","UDP","45","56059  >  5805 Len=3"
"469","121.948564","192.168.0.21","192.168.3.255","UDP","79","56059  >  5805 Len=37"
"470","121.949060","192.168.0.21","192.168.3.255","UDP","352","56059  >  5805 Len=310"
"471","121.949799","192.168.0.21","192.168.3.255","UDP","181","56059  >  5805 Len=139"
"472","121.950235","192.168.0.21","192.168.3.255","UDP","193","56059  >  5805 Len=151"
"473","121.950734","192.168.0.21","192.168.3.255","UDP","103","56059  >  5805 Len=61"
"474","121.951145","192.168.0.21","192.168.3.255","UDP","118","56059  >  5805 Len=76"
"485","126.451911","192.168.0.21","192.168.3.255","UDP","181","56059  >  5805 Len=139"
"486","126.452911","192.168.0.21","192.168.3.255","UDP","119","56059  >  5805 Len=77"
"487","126.454338","192.168.0.21","192.168.3.255","UDP","228","56059  >  5805 Len=186"
"488","126.455582","192.168.0.21","192.168.3.255","UDP","135","56059  >  5805 Len=93"
"489","126.456597","192.168.0.21","192.168.3.255","UDP","195","56059  >  5805 Len=153"
